title,singer,anime,vocaloid,year,code,本日
8.32,*Luna,FALSE,TRUE,,,
About me,蝶々P,FALSE,TRUE,,,
Blessing,halyosy,FALSE,TRUE,,,
Calc,ジミーサムP,FALSE,TRUE,,,
CITRUS,Da-iCE,FALSE,FALSE,,,
DAYBRAKEFRONTLINE,Orangestar,FALSE,TRUE,,,
fairytail,buzzG,FALSE,TRUE,,,
FIRE◎Flower,halyosy,FALSE,TRUE,,,
GOOD BYE,HoneyWorks,FALSE,FALSE,,,
I wonder,Da-iCE,FALSE,FALSE,,,
KICK BACK,米津玄師,TRUE,FALSE,,,
King,Kanaria,FALSE,TRUE,,,
lemon,米津玄師,FALSE,FALSE,,720-5540-5,
Monster,嵐,FALSE,FALSE,,,
Myra,Tani Yuuki,FALSE,FALSE,,,
ODDS&ENDS,Ryo(supercell),FALSE,TRUE,,,
ONE Love,嵐,FALSE,FALSE,,,
orion,米津玄師,FALSE,FALSE,,,
Q,椎名もた,FALSE,TRUE,,,
sign,Flow,TRUE,FALSE,,164-9851-8,
Stand Out Fit In,ONE OK ROCK,FALSE,FALSE,,,
Starduster,ジミーサムP,FALSE,TRUE,,,
START,レフティーモンスターP,FALSE,TRUE,,,
TOGETHER,あきよしふみえ,TRUE,FALSE,,135-0308-1,
Truth,嵐,FALSE,FALSE,,,
V.I.P,シド,TRUE,FALSE,,N00040489,
W/X/Y,Tani Yuuki,FALSE,FALSE,,,
Wherever you are,ONE OK ROCK,FALSE,FALSE,,,
アイドル,YOASOBI,TRUE,FALSE,,,
アイネクライネ,米津玄師,FALSE,FALSE,,,
アイラ,n-buna,FALSE,TRUE,,,
アイロニ,すこっぷ,FALSE,TRUE,,N00633018,
アウターサイエンス,じん,FALSE,TRUE,,,
アサガオの散る頃に,じっぷす,FALSE,TRUE,,,
アスノヨゾラ哨戒班,Orangestar,FALSE,TRUE,,,
アトラクトライト,*Luna,FALSE,TRUE,,N00645702,
あなたの夜があけるまで,傘村トータ,FALSE,TRUE,,249-1142-9,
アヤノの幸福理論,じん,FALSE,TRUE,,,
アンチジョーカー,マイキP,FALSE,TRUE,,,
アンチビート,DECO*27,FALSE,TRUE,,,
い～やい～やい～や,Neru,FALSE,TRUE,,,
いかないで,想太,FALSE,TRUE,,,
イノコリ先生,HoneyWorks,FALSE,TRUE,,,
インタビュア,クワガタP,FALSE,TRUE,,-,
ヴァンパイア,DECO*27,FALSE,TRUE,,,
うたかた花火,supercell,TRUE,FALSE,,170-7839-3,
ウミユリ海底譚,n-buna,FALSE,TRUE,,,
エイリアンエイリアン,ナユタン星人,FALSE,TRUE,,,
エンヴィーベイビー,Kanaria,FALSE,TRUE,,,
エンドロール,夏代孝明,FALSE,TRUE,,,
オトノナルホウヘ,Goose house,TRUE,FALSE,,709-1420-6,
お気に召すまま,Eve,FALSE,TRUE,,,
カーテンコール,優里,TRUE,FALSE,,,
かくれんぼ,優里,FALSE,FALSE,,,
カゲロウ,ONE OK ROCK,FALSE,FALSE,,145-8405-1,
ガラクタパレード,Neru,FALSE,TRUE,,,
